speed(m/s),Acceleration(m/s2),Speed(mph),road_grade(rad),VSP_est,soc_simulation,fuel_est,elec_est
28.133739989299997,0.0,62.93348833166474,0.0,8564.057793553973,0.2,151752.82523762848,-24215.413785314224
28.0385399893,-0.0951999999999984,62.72053164366474,0.0,5826.142966691051,0.2,142986.42878818532,-25091.84881263987
28.026970822600003,-0.011569166699995748,62.694652111906855,0.0,8162.847891648042,0.2,150160.9497392896,-24286.50525465507
27.985449989299997,-0.04152083330000522,62.601772499064744,0.0,7295.321848891524,0.2,147692.00084814915,-24662.37595172475
27.9125552671,-0.07289472219999737,62.43871137918668,0.0,6370.493834283992,0.2,144559.70635339268,-24900.378179613028
27.865062211599998,-0.04749305550000216,62.3324722636165,0.0,7047.934499701471,0.2,146573.0115474108,-24647.27347669651
27.8462938783,-0.01876833329999883,62.29048862812441,0.0,7835.356668497024,0.2,148675.33776139023,-24281.413038618786
27.7862272116,-0.06006666669999916,62.156123098716506,0.0,6646.347336133836,0.2,145287.290385157,-24773.96404491576
27.7751202672,-0.011106944400001595,62.13127753051037,0.0,7999.014298901171,0.2,149250.73074150342,-24233.328159788645
27.776457489400002,0.0013372222000036516,62.13426881633845,0.0,8345.600621540867,0.2,150594.4925039499,-24165.07618222511
27.749436656100002,-0.027020833299999936,62.073824833496346,0.0,7539.53752025301,0.2,147750.8804883755,-24399.43135441102
27.7743933227,0.024956666599997845,62.12965139928054,0.0,9000.152885807991,0.2,153277.19789574808,-24064.761344149363
27.8823472116,0.10795388889999913,62.37113777151651,0.0,11393.644129543658,0.2,,-23656.242106962145
28.040447211500002,0.15809999990000279,62.72479798529282,0.0,12929.97805537318,0.2,,-23492.433643572687
28.2414224892,0.20097527769999957,63.174367622991056,0.0,14318.007039395094,0.2,176766.51856676044,-23481.678195956607
28.382973044699998,0.14155055549999673,63.491007722611215,0.0,12763.26695609135,0.2,,-23816.024980748465
28.5627577669,0.17978472220000086,63.89317535908929,0.0,14013.46378215925,0.2,175803.65175319562,-23672.328440084995
28.760539155700002,0.19778138880000284,64.33560045895156,0.0,14714.218515443941,0.2,179127.48916566418,-23604.96784693767
28.927796655599998,0.16725749989999628,64.70974545077786,0.0,13990.487817100102,0.2,176135.8085018227,-23822.53126849468
29.0760041556,0.1482075000000016,65.04127673582786,0.0,13574.228522453004,0.2,174384.21529905387,-23932.665362516545
29.2315716555,0.15556749990000185,65.38927189905418,0.0,13931.942907163024,0.2,175961.5318674038,-23862.41959726892
29.481228599899996,0.24965694439999453,65.9477395042603,0.0,16938.733739926054,0.2,189994.714344496,-23494.760474109633
29.5028685998,0.021639999900003204,65.99614688563662,0.0,10233.93807381447,0.2,161082.09076372412,-24700.684126622557
29.6213360998,0.11846750000000128,66.26115157508661,0.0,13197.862925362386,0.2,,-24091.504422580656
29.644061099800002,0.022725000000001216,66.31198603658662,0.0,10380.310052828143,0.2,161275.97219282555,-24540.321288789324
29.7617277664,0.11766666659999814,66.57519930977082,0.0,13301.939813479665,0.2,,-23937.446408594806
29.722188321999997,-0.039539444400002566,66.48675194501467,0.0,8593.346142043016,0.2,154204.15305471164,-24934.514893248157
29.7934702664,0.07128194440000257,66.64620537772082,0.0,11948.998319378761,0.2,,-24194.60972352761
29.7978463775,0.004376111100000912,66.65599447568485,0.0,9959.150046048935,0.2,159399.86501231237,-24579.370398406245
29.893786099699998,0.09593972219999714,66.87060587786291,0.0,12773.476795130535,0.2,,-24044.894793945496
29.926391099699998,0.03260500000000022,66.94354130656292,0.0,10907.396198707052,0.2,,-24453.54134847953
29.9660513775,0.03966027780000303,67.03225896838485,0.0,11152.008191627065,0.2,,-24426.967501734005
30.0190141552,0.052962777699999464,67.15073352433309,0.0,11596.149545207196,0.2,,-24289.645936911653
30.0696352663,0.050621111099999894,67.26396991259713,0.0,11569.36313600876,0.2,,-24311.414830463673
30.0856080441,0.015972777799998283,67.29970005816905,0.0,10540.699949756841,0.2,,-24527.438243270237
30.211902210700003,0.1262941666000046,67.58221253120327,0.0,13978.502399257111,0.2,176642.09480618726,-24012.655491761754
30.225857488499997,0.013955277799993837,67.61342965032519,0.0,10596.126565346907,0.2,,-24641.735883089772
30.6181463772,0.39228888870000134,68.49095635701377,0.0,22509.682695271465,0.2,216929.88817150303,-22920.90311585643
30.9136241548,0.29547777760000216,69.15192241683832,0.0,19881.79261576746,0.2,204850.02364860944,-23424.553085164833
31.203724436799998,0.2901002819999974,69.8008593416554,0.0,20048.19867425109,0.2,206118.97887333657,-23571.15288449501
31.5062570029,0.3025325661000018,70.47760654006713,0.0,20791.09283355565,0.2,209558.25723601755,-23439.98432657185
31.7557927656,0.249535762699999,71.03580306908127,0.0,19404.249144670608,0.2,203182.1790827827,-23698.73753343559
31.9063588767,0.15056611110000162,71.3726104256453,0.0,16418.64526648633,0.2,189416.75897029755,-24172.87398251763
31.9931241545,0.08676527779999788,71.56669914616724,0.0,14468.581663574027,0.2,180430.11580739266,-24461.904091685352
32.0625177656,0.06939361110000064,71.72192849058126,0.0,13980.32094360321,0.2,178016.97263427798,-24471.189139935577
32.1004888766,0.03797111099999739,71.8068675876216,0.0,13008.68578028848,0.2,,-24511.8855507531
32.1419588766,0.04147000000000389,71.8996334894216,0.0,13160.380766853881,0.2,,-24474.304843355552
32.1626344322,0.02067555560000045,71.94588346676548,0.0,12511.24136256037,0.2,,-24571.792574421033
32.133021932199995,-0.029612500000006037,71.87964208101546,0.0,10867.791754655796,0.2,,-24873.11675698925
32.1515083211,0.01848638890000842,71.92099502380145,0.0,12430.502945433878,0.2,,-24543.678730740376
32.1408419322,-0.01066638890000604,71.89713495181546,0.0,11483.611596825072,0.2,,-24728.08810097915
32.1542188766,0.013376944400000923,71.92705837382161,0.0,12268.728560067157,0.2,,-24582.007687554833
32.1145649877,-0.039653888899998435,71.83835500358565,0.0,10529.100265761143,0.2,,-24909.009549515806
32.0867538767,-0.027811110999998334,71.7761432169453,0.0,10884.972121921297,0.2,,-24832.001364584863
31.8842994323,-0.2024544444000007,71.32326477208917,0.0,5139.723292946898,0.2,143888.41816992123,-26124.856526555555
31.939472487800003,0.05517305550000273,71.44668358685935,0.0,13406.57506786423,0.2,,-24261.92255367442
31.9243430434,-0.015129444400002967,71.4128399275032,0.0,11147.780876158275,0.2,,-24713.58477369428
31.879681376700002,-0.04466166669999794,71.31293445879531,0.0,10166.90230433161,0.2,161657.82446482877,-24985.33091002495
31.8012299879,-0.07845138880000135,71.13744340913303,0.0,9025.690539060806,0.2,156804.92080808937,-25130.849416125384
31.7744063767,-0.026823611200001096,71.0774406002953,0.0,10644.316911339401,0.22674737965650787,,-18049.983632598374
31.632118321300002,-0.14228805539999811,70.75915075764883,0.0,6869.4496011495885,0.22674737965650787,124438.22305892096,-19094.218981971924
31.6094969324,-0.02262138890000287,70.70854806796285,0.0,10635.282812157655,0.22674737965650787,,-17997.5131555588
31.5528297102,-0.05666722219999798,70.5817868919348,0.0,9512.359176362324,0.22674737965650787,133946.33014829768,-18253.140115402035
31.546537488000002,-0.006292222199999031,70.56771156840674,0.0,11096.334356705007,0.22674737965650787,,-17936.422995918303
31.5186902658,-0.02784722220000191,70.50541900317866,0.0,10392.637024890155,0.22674737965650787,137744.06410109258,-18095.589801021175
31.481687765700002,-0.03700250009999806,70.42264663060497,0.0,10072.96414296006,0.22674737965650787,136410.32544615344,-18170.237465170172
31.5666580435,0.08497027779999655,70.6127200438269,0.0,13994.776082483528,0.22674737965650787,153308.92070572206,-17510.34412840606
31.5802022101,0.013544166600002683,70.6430175318611,0.0,11752.2126259054,0.22674737965650787,,-17893.442701669806
31.566984432399998,-0.013217777700003097,70.61345015621286,0.0,10895.590544434046,0.22674737965650787,,-18085.788852747046
31.5387810991,-0.02820333329999869,70.55036099182075,0.0,10398.509145260907,0.22674737965650787,137873.03867759983,-18128.413733581572
31.548902765700003,0.010121666600003465,70.57300255270496,0.0,11616.241270668559,0.22674737965650787,,-17851.627957644636
31.5757813768,0.026878611099995453,70.63312839301899,0.0,12169.301112776486,0.22674737965650787,,-17754.466678914607
31.4108677658,-0.16491361099999935,70.26422654002866,0.0,5995.8065730980215,0.22674737965650787,121316.24160081625,-19314.632104727934
31.499824432399997,0.0889566665999979,70.46321726581286,0.0,14055.896227166868,0.22674737965650787,153387.60501407646,-17430.959545560527
31.4457977657,-0.054026666699996895,70.34236285400496,0.0,9507.513751019373,0.22674737965650787,134156.00936178918,-18328.4176039574
31.6177983213,0.17200055560000038,70.72711777684883,0.0,16795.9447844849,0.22674737965650787,166256.11197096034,-17089.491472949063
31.6322516546,0.014453333300000537,70.75944901624094,0.0,11827.631570877362,0.22674737965650787,,-17953.74662810042
31.5825758213,-0.04967583330000025,70.64832715769883,0.0,9757.68715837109,0.22674737965650787,135593.53064543745,-18402.51868452705
