time(s),speed(m/s),grade
0,22.754336,0.0038447010165
1,23.559008,0.0041908404651
2,24.36368,0.00378702453648
3,25.123648,0.00329712586426
4,25.883616,0.00291902847738
5,26.554176,0.00232671169693
6,27.0861536,0.000486676635207
7,27.6226016,-0.00200464960577
8,27.895296,-0.00380956557175
9,28.0696416,-0.00323428866787
10,28.118816,-0.0012715684946
11,28.118816,0.00120252455654
12,28.118816,0.0027345133069
13,28.0696416,0.00368486616952
14,28.0696416,0.00464912026177
15,28.0696416,0.0052517403372
16,27.9802336,0.00517168101517
17,28.2931616,0.00417579444322
18,28.4272736,0.00284396667656
19,28.61056,0.00169284433059
20,28.8743136,0.000885703702643
21,29.191712,9.8087831851e-07
22,29.5448736,-0.00122090649383
23,29.459936,-0.00165715048628
24,29.191712,-0.000552945687874
25,29.0978336,0.00114900851752
26,29.415232,0.00216533681397
27,29.906976,0.0011611281413
28,30.532832,-0.00184663469847
29,31.06928,-0.00565958406072
30,31.695136,-0.010009299126
31,32.0035936,-0.0140896121974
32,31.8247776,-0.0182348160835
33,31.51632,-0.0202447620629
34,31.3777376,-0.0216864318369
35,31.51632,-0.0224505121257
36,31.650432,-0.0225222764726
37,31.7800736,-0.0220448983559
38,32.0035936,-0.0211188142622
39,32.2271136,-0.0198942273147
40,32.4104,-0.0186025270062
41,32.63392,-0.0171230866605
42,32.85744,-0.015705927325
43,32.903906632,-0.0147876971784
44,32.7188576,-0.0135320036194
45,32.320992,-0.0122312705278
46,31.873952,-0.0122800328107
47,31.6012576,-0.0126541105322
48,31.6012576,-0.00994484777219
49,31.695136,-0.00443770026531
50,31.5565536,-0.00195576241317
51,31.1542176,-0.003980073238
52,30.7071776,-0.0071970168676
53,29.95168,-0.00967276638992
54,29.28112,-0.0136721521253
55,28.6954976,-0.0185321872007
56,28.2037536,-0.0218650327192
57,27.7567136,-0.0238554721749
58,27.582368,-0.0262388117171
59,27.49296,-0.0301443887802
60,27.6226016,-0.0340130555441
61,28.0696416,-0.0370564166378
62,28.5166816,-0.0399667592623
63,28.9190176,-0.0413121384912
64,29.0576,-0.0408402427706
65,29.28112,-0.0392836743397
66,29.5895776,-0.0383211535289
67,29.683456,-0.0383865586603
