time(s),speed(m/s),grade
0,21.636736,-0.0233985335722
1,21.8110816,-0.0294542669057
2,21.90496,-0.034211645724
3,22.0346016,-0.0381417425784
4,22.1687136,-0.0392930780077
5,22.1687136,-0.037287889387
6,22.2581216,-0.0342153029117
7,21.8110816,-0.0290801231601
8,21.01088,-0.0230838265641
9,20.072096,-0.0157137273768
10,19.7099936,-0.00705586541547
11,19.535648,0.00122634253082
12,19.5758816,0.0114019459071
13,19.89328,0.0214406568807
14,20.1168,0.0293160950706
15,20.206208,0.0370555966635
16,20.34032,0.0429337980329
17,20.429728,0.0463581773701
18,20.4699616,0.0484284545301
19,20.429728,0.0486497656566
20,20.4699616,0.0473681267966
21,20.429728,0.0447333207027
22,20.34032,0.0407571225183
23,20.1570336,0.035513429452
24,19.982688,0.0302827702925
25,19.848576,0.0236266508817
26,19.9335136,0.0171200755165
27,20.2464416,0.0120557713701
28,20.653248,0.00707961787038
29,21.1405216,0.00337428287433
30,21.4981536,0.00113942629471
31,21.770848,0.000452552387383
32,21.9451936,0.00126421342034
33,21.8110816,0.00366627411925
34,21.68144,0.00649889998416
35,21.45792,0.00941107966996
36,21.01088,0.0118865908269
37,20.876768,0.0135865570546
38,20.876768,0.0143867910184
39,20.4699616,0.014326993355
40,19.625056,0.0136689532768
41,18.3688736,0.0122577565966
42,16.629888,0.0105880065985
43,14.931136,0.00892913053633
44,14.2561056,0.00709441166121
45,14.30528,0.00498418120334
46,15.2395936,0.00304663732401
47,16.1336736,0.00112888715406
48,17.2512736,-0.00113110927956
49,18.3688736,-0.00331386719722
50,19.44624,-0.00536998380193
51,20.519136,-0.00756609395755
52,21.4981536,-0.00946991613138
53,22.4816416,-0.0109819105179
54,23.24608,-0.0115976407259
55,23.91664,-0.011424160329
56,24.453088,-0.0103279701818
57,24.9403616,-0.00845319781716
58,25.3874016,-0.00618836130088
59,25.7048,-0.00378099213265
60,25.92832,-0.00215562616235
61,26.0579616,-0.00187059033296
62,26.1920736,-0.00309416957673
63,26.4155936,-0.00591714522959
64,26.6391136,-0.0101005020067
65,27.001216,-0.0151712348639
66,27.26944,-0.0205403767545
67,27.582368,-0.0255900376014
68,27.9802336,-0.0295984523953
