time(s),speed(m/s),grade
0,8.583168,0.000525667184736
1,8.3998816,-0.000268873640039
2,8.27024,-0.00146660736723
3,8.28760028801,-0.00265777444624
4,8.359648,-0.00384818744449
5,8.4445856,-0.00505575627571
6,8.73471236664,-0.00632924331536
7,9.1188821838,-0.00817790018594
8,9.38942370903,-0.00966578866135
9,9.3386656,-0.0117406726735
10,8.90151187556,-0.0127745034001
11,8.583168,-0.0144538136866
12,8.71728,-0.0156418136965
13,8.6681056,-0.01671423001
14,8.54968638831,-0.0175611385408
15,8.42447520975,-0.0181472362697
16,8.27024,-0.0184746483352
17,8.2210656,-0.01849564948
18,8.6681056,-0.0180475855292
19,8.9408,-0.0173308123057
20,8.8469216,-0.0163208600502
21,7.9975456,-0.0150602737832
22,6.973824,-0.0141092880084
23,6.7905376,-0.0125582351503
24,6.5670176,-0.0114586563965
25,5.4494176,-0.0103188908332
26,3.531616,-0.0091490239453
27,2.9459936,-0.00855404722011
28,3.039872,-0.00855404722011
29,4.60359999159,-0.0079519737393
30,6.303264,-0.00547985726513
31,6.6564256,-0.00421562808704
32,6.750304,-0.00292346210574
33,8.136128,-0.000184152346775
34,9.2939616,0.00196078236743
35,10.28192,0.00488063871874
36,10.72896,0.00780642459886
37,10.9033056,0.0107025335061
38,11.5738656,0.0134931473423
39,12.4679456,0.0168663041413
40,13.232384,0.0194397126979
41,13.5855456,0.0223676954364
42,13.8090656,0.0247610272489
43,14.126464,0.0263862566522
44,14.394688,0.0270738832492
45,14.7925536,0.0271954225297
46,15.154656,0.0265332875603
47,15.601696,0.0249026626561
48,16.09344,0.0230065275313
49,16.54048,0.0202863498464
50,16.98752,0.0178114906946
51,17.166336,0.0146757363451
52,17.389856,0.0120419472644
53,17.3721364594,0.00889010766753
54,17.2512736,0.0057316894744
55,17.2512736,0.00280153047709
56,17.21104,0.000165379139872
57,16.942816,-0.00191279451421
58,16.98752,-0.00320629001841
59,17.21104,-0.00385987272798
60,17.523968,-0.0040624428732
61,17.7877216,-0.00395679768624
62,18.0112416,-0.00368117431237
63,18.1453536,-0.00326101443715
64,18.283936,-0.00274434447775
65,18.2347616,-0.00248953594234
66,18.283936,-0.00264671867546
67,18.4582816,-0.0034938361901
68,18.55216,-0.00455283836755
69,18.507456,-0.00575795021543
70,18.418048,-0.00690113390344
71,18.4582816,-0.00795370855607
72,18.55216,-0.00907818342028
73,18.641568,-0.00991001926867
74,18.77568,-0.0107742463732
75,18.9053216,-0.0114705320619
76,18.9053216,-0.0121830275358
77,18.507456,-0.0127151374924
78,18.0112416,-0.0131688625251
79,17.747488,-0.0135257861308
80,17.3406816,-0.0138110302276
81,16.942816,-0.0140101046179
82,16.6701216,-0.0141793037289
83,16.54048,-0.0142172989466
84,16.4466016,-0.0141602369836
85,16.54048,-0.0141049121221
86,16.764,-0.0141649751092
87,16.764,-0.0144752134154
88,16.5807136,-0.0150234601005
89,16.3571936,-0.0161847456023
90,16.09344,-0.0176167617772
91,15.9995616,-0.0198890691488
92,15.86992,-0.022236633568
93,15.7760416,-0.0249904290059
94,15.735808,-0.0286720843598
95,15.6866336,-0.03184988696
96,15.6464,-0.0355629195342
97,15.0160736,-0.0384512016159
98,14.2114016,-0.0408888837082
99,14.0325856,-0.0426774640318
100,14.0325856,-0.0434300284205
101,14.0325856,-0.0434200625899
102,13.85824,-0.0423788177728
103,13.7349945579,-0.0408473826258
104,13.7069152055,-0.0384029873833
105,13.7377196061,-0.0354610589733
106,13.7911254227,-0.0320477312667
107,13.8308503184,-0.0284120161195
108,13.8206119565,-0.0248127416164
109,13.724128,-0.0213973974971
110,13.455904,-0.0188731970822
111,12.6914656,-0.0165879397435
112,11.3056416,-0.0149706668251
113,10.28192,-0.0129767926856
114,9.3386656,-0.0116507224272
115,8.8469216,-0.0105217512457
116,8.3998816,-0.00962233853436
117,8.314944,-0.00893852438513
118,8.27024,-0.00857725929879
119,8.4445856,-0.00814736251019
120,8.806688,-0.00782915585571
121,9.16432,-0.00758191605184
122,9.7410016,-0.00736253685969
123,10.550144,-0.00706718642343
124,11.176,-0.00681197493155
125,11.39952,-0.00643646936117
126,11.39952,-0.00601407989962
127,11.444224,-0.00549385682733
128,11.7526816,-0.00501849942568
129,11.84656,-0.00428477307616
130,11.667744,-0.00347140696493
131,11.444224,-0.00262531679525
132,11.1268256,-0.00177652977715
133,10.72896,-0.0011345550063
134,10.28192,-0.000219863594446
135,9.83488,0.000474633637709
136,9.61136,0.00140757394641
137,9.16432,0.00215666097799
138,9.030208,0.00290398572602
139,8.761984,0.00364544538448
140,8.71728,0.00438131299388
141,7.8232,0.00486877805495
142,6.7056,0.00535375224948
143,6.3434976,0.00583623548178
144,6.25856,0.00625685233931
145,6.3434976,0.00690836711648
146,6.59177907738,0.00760322423795
147,6.7056,0.00806348527906
148,6.5670176,0.00852136452191
149,6.7905376,0.00920371721807
150,7.8232,0.0101051832757
151,10.6350816,0.0105523428053
152,11.39952,0.0121087007791
153,11.6647398511,0.0132051071642
154,11.935968,0.0142856820906
155,12.114784,0.0151273754686
156,12.51712,0.0162145929868
157,12.8702816,0.0176900970401
158,13.1385056,0.0188051356491
159,13.3620256,0.0203413979908
160,13.455904,0.0219129377942
161,13.5855456,0.02311410332
162,13.7643616,0.0244960638238
163,13.947648,0.0257200517156
164,14.171168,0.0277095913108
165,14.2561056,0.0288081856682
166,14.3388017488,0.0293936453971
167,13.9878816,0.0296160259617
168,13.6919580945,0.0294597863111
169,13.555379869,0.0289318836655
170,13.500608,0.0279767704903
171,13.4112,0.02691695396
172,13.5855456,0.0252221957575
173,15.154656,0.0221562071659
174,15.5525216,0.0188658499189
175,15.6866336,0.0156437347066
176,15.6866336,0.0120543021002
177,15.959328,0.00819230431863
178,16.182848,0.0040804818182
179,16.406368,-0.000247126100897
180,17.300448,-0.00565435621205
181,17.613376,-0.0103000902622
182,17.8749783002,-0.0154320908534
183,18.0112416,-0.0197591735366
184,17.836896,-0.0239542626974
185,17.836896,-0.0274216850181
186,17.7877216,-0.030461545003
187,17.21104,-0.0326004615619
188,16.853408,-0.0334182879089
189,16.54048,-0.0330947606369
190,16.54048,-0.0316409760917
191,16.719296,-0.0286880810408
192,16.8042336,-0.0246557753391
193,17.2752345774,-0.0207865505909
194,17.65808,-0.0174742737404
195,17.830104565,-0.0138820287713
196,18.060416,-0.0115938765297
197,18.507456,-0.0101965703473
198,18.8159136,-0.00938475948896
199,18.9992,-0.00896326129123
200,18.954496,-0.00862440069048
201,18.8716815847,-0.00832483225229
202,18.6818016,-0.00831751741238
203,18.418048,-0.0082422532238
204,18.6555925662,-0.00767964428189
205,19.178016,-0.00686470673883
206,19.6134345378,-0.00599009960065
207,19.9569983286,-0.00520449247232
208,20.295616,-0.00460647731348
209,20.6040736,-0.00425988800554
210,20.653248,-0.00418569184354
211,20.876768,-0.00430724012308
212,21.189696,-0.00481675476493
213,21.4981536,-0.00582502408067
214,21.770848,-0.00686641133256
215,22.083776,-0.00740417077748
216,22.352,-0.00729050333301
217,22.57552,-0.00673704414615
218,22.7051616,-0.0059205200227
219,22.79904,-0.00531031103994
220,23.201376,-0.00497680376506
221,23.650023102,-0.00496231818995
222,24.0835080541,-0.00439280791335
223,24.542496,-0.00261123466761
224,24.8509536,0.00164333501722
225,24.4933216,0.00635528444587
226,24.36368,0.0106251480969
227,24.1803936,0.0134137670398
228,24.006048,0.0143459763448
229,23.8227616,0.0131600809783
230,23.7333536,0.0100018391799
231,24.006048,0.00513316749707
232,24.318976,-0.000918356187391
233,24.542496,-0.00799407299181
234,24.676608,-0.0133042801173
235,24.766016,-0.0175221528844
236,24.8509536,-0.0201578184669
237,24.900128,-0.0215332041291
238,24.766016,-0.0223529551335
239,24.6274336,-0.0226199908913
240,24.453088,-0.0226523095344
241,24.36368,-0.022515755652
242,24.36368,-0.0223353234051
243,24.318976,-0.0220321263656
244,24.318976,-0.0213609285851
245,24.36368,-0.0200619694276
246,24.5872,-0.0184069724719
247,25.0744736,-0.0167251388442
