time(s),speed(m/s),grade
0,29.415232,-0.0263874420584
1,29.1425376,-0.0384349772817
2,29.191712,-0.0478075725811
3,29.3660576,-0.0557593279364
4,29.683456,-0.0602486944703
5,29.95168,-0.0603902358181
6,30.2601376,-0.0558403189402
7,30.4836576,-0.0433184336275
8,30.801056,-0.0219155831893
9,31.1095136,-0.000935466930007
10,31.471616,0.0160919497557
11,31.8247776,0.0246039422763
12,32.18688,0.0209394535437
13,32.4506336,0.0122053987467
14,32.63392,0.002075583652
15,32.812736,-0.00598830543227
16,32.8976736,-0.0090810419045
17,32.9423776,-0.0086890988977
18,32.812736,-0.00705700301114
19,32.2271136,-0.00428677238016
20,31.73984,-0.000804262190038
21,31.6012576,0.00338050728885
22,31.5565536,0.00747342398003
23,31.471616,0.0111834187118
24,31.426912,0.0144976065548
25,31.3330336,0.0173205453905
26,31.1542176,0.0188546848568
27,30.84576,0.0191918248396
28,30.577536,0.0181886376246
29,30.532832,0.0165828483431
30,30.577536,0.014622341882
31,30.6624736,0.0121649523165
32,30.801056,0.00886068519433
33,31.024576,0.00538528776136
34,31.203392,0.00111004960368
35,31.3777376,-0.00304985444531
36,31.51632,-0.00770838202954
37,31.650432,-0.0117316797149
38,31.7800736,-0.0155494031942
39,31.918656,-0.0182928374167
40,32.097472,-0.0195155898195
41,32.2271136,-0.0191158351897
42,32.5027863837,-0.0169498286035
43,32.8132580244,-0.01322055222
44,32.9423776,-0.00839133532754
45,32.85744,-0.00297645654724
46,32.9423776,0.00247479023297
47,32.768032,0.00735965282977
48,32.544512,0.0112279787688
49,32.2638742268,0.0135886068118
50,31.934373547,0.0147205472789
51,31.6012576,0.014343334868
52,31.3108021197,0.0123664791513
53,31.1133952202,0.00925896921205
54,31.0604531107,0.00485695976875
55,31.203392,-7.31529149604e-05
56,31.471616,-0.00466024649931
57,31.5565536,-0.00865446903124
58,31.7800736,-0.0120003285673
59,31.918656,-0.013979350847
60,32.097472,-0.015043102998
61,32.097472,-0.0151500697743
62,32.18688,-0.0145122269488
63,32.2718176,-0.0133052715103
64,32.365696,-0.0119225405067
65,32.544512,-0.0102912974548
66,32.6741536,-0.00872572951253
67,32.812736,-0.00738886964996
68,32.991552,-0.00641919411023
69,33.259776,-0.00594191392839
70,33.528,-0.00609394065147
71,33.8364576,-0.00716256075123
72,34.109152,-0.00913730032313
73,34.377376,-0.0121263209911
74,34.42208,-0.0163100377606
75,34.377376,-0.0205314690421
76,34.2387936,-0.0247250131193
77,34.0599776,-0.0276761945147
78,33.930336,-0.0296882547771
79,33.8364576,-0.0309265190303
