time(s),speed(m/s),grade
0,23.7333536,-0.0286835489312
1,23.782528,-0.0288693940124
2,23.871936,-0.0290444333629
3,24.229568,-0.029249996443
4,24.676608,-0.0287177992196
5,25.2979936,-0.0265598006529
6,25.9685536,-0.0222863307652
7,26.688288,-0.0168846261752
8,26.688288,-0.0109945785923
9,26.241248,-0.00518348292799
10,25.8679849481,-0.000750218416291
11,25.883616,0.00259416142891
12,26.330656,0.00399161417392
13,26.6391136,0.00451362978255
14,26.9520416,0.00476906790407
15,27.04592,0.00499092786752
16,26.9520416,0.00595874988663
17,26.59888,0.00769057265873
18,26.2814816,0.0098388342047
19,26.1920736,0.0115834347372
20,26.15184,0.013285468898
21,25.8344416,0.0147585775199
22,25.347168,0.0158728146942
23,25.123648,0.016758489975
24,24.989536,0.0170153351439
25,24.900128,0.0169887477317
26,24.7168416,0.0167576360493
27,24.766016,0.0165041842713
28,25.03424,0.0164533654934
29,25.1638816,0.0167174342553
30,25.1638816,0.0174421016033
31,25.123648,0.018874443606
32,25.213056,0.0210533168649
33,25.3874016,0.0237337845411
34,25.570688,0.0259283598425
35,25.6109216,0.0275526877961
36,25.6109216,0.0284171848697
37,25.660096,0.0286376067433
38,25.7048,0.0284209508089
39,25.570688,0.0281679020424
40,25.2979936,0.027986048337
41,25.1638816,0.0277595229989
42,25.2979936,0.0275673546501
43,25.48128,0.0273323639846
44,25.660096,0.0274187252909
45,25.7450336,0.0275494482229
46,25.883616,0.0276029660261
47,25.883616,0.0277733411468
48,25.92832,0.0281367022496
49,26.15184,0.0284677955922
50,26.37536,0.0287498294986
51,26.59888,0.028675255565
52,26.688288,0.0284959970785
53,26.777696,0.0283351973341
54,26.777696,0.0277740284086
55,26.8626336,0.0269707925647
56,26.9520416,0.0255696490019
57,26.8224,0.0235133708065
58,26.8224,0.0208459700168
59,26.6391136,0.0174755913297
60,26.37536,0.0138923454055
61,26.017728,0.0103491584694
62,25.7048,0.00715169424909
63,25.4357261461,0.0044748793462
64,25.1813556807,0.0018330266773
65,24.9193657749,-0.00118774812723
66,24.6274336,-0.00496794533892
67,24.318976,-0.00823537458757
68,24.0462816,-0.0110521058769
69,23.648416,-0.0132442826238
70,23.335488,-0.0147312961558
71,22.754336,-0.0155316804105
72,21.45792,-0.015835177801
73,19.1288416,-0.0159042788807
74,16.764,-0.0159494616171
75,14.5690336,-0.0160200618907
76,12.830048,-0.0160541895662
77,11.891264,-0.0160852364657
78,11.176,-0.0161157574658
79,10.4562656,-0.0161267792071
80,9.700768,-0.0161222847261
81,8.8916256,-0.0161198481895
82,8.6234016,-0.0161193088135
83,8.6234016,-0.0161187206641
84,8.583168,-0.0161241669571
85,8.3998816,-0.0161366750251
86,7.912608,-0.0161594597793
87,7.0140576,-0.0161872788929
88,5.81152,-0.0162331565999
89,5.0917856,-0.0163025036914
90,5.0023776,-0.0163456357267
91,4.69392,-0.0164456400161
92,3.8847776,-0.0165010812863
93,3.263392,-0.0165588128692
94,3.084576,-0.0166176666533
95,3.039872,-0.016676378456
96,2.5436576,-0.0167337720009
97,1.966976,-0.0167888896241
98,1.743456,-0.0167888896241
99,1.4707616,-0.0168408207755
100,1.207008,-0.0168408207755
101,1.34112,-0.0168886888236
102,1.6048736,-0.0168886888236
103,1.8730976,-0.0169313814103
104,2.145792,-0.0169313814103
105,2.4989536,-0.0169673646014
106,3.039872,-0.0169951373209
107,3.6612576,-0.0170133265471
108,4.02336,-0.0170209071668
109,3.92020318136,-0.017002307616
110,3.531616,-0.0169756544833
111,3.12928,-0.0169376177582
112,2.861056,-0.0168888510075
113,2.861056,-0.0168302130495
114,4.1977056,-0.0167627583607
115,5.409184,-0.0166054042259
116,6.7905376,-0.0164261301164
117,8.2210656,-0.0162364016652
118,9.700768,-0.0159575604005
119,10.997184,-0.0156711897456
120,12.1997216,-0.0155328301761
121,13.008864,-0.0155145186859
122,13.500608,-0.0155791917342
123,13.9878816,-0.015671729204
124,14.707616,-0.0157724665822
125,15.2395936,-0.0157864102573
126,15.825216,-0.0157118749323
127,16.272256,-0.0155799466961
128,16.31696,-0.0155268846469
129,16.2230816,-0.0155838910074
130,16.182848,-0.0157123599359
131,16.09344,-0.0158667134397
132,16.048736,-0.0160356376725
133,16.182848,-0.016205707471
134,16.3571936,-0.01637604426
135,16.3571936,-0.016473349312
136,16.31696,-0.0165606701766
137,16.3571936,-0.0166165268613
138,16.54048,-0.0166213941967
139,16.764,-0.0166132726884
140,17.076928,-0.0166011853638
141,17.4747936,-0.0165873767989
142,17.7877216,-0.0165520565567
143,18.10512,-0.0163347244543
144,18.3688736,-0.0160375126876
145,18.6818016,-0.0157885106432
146,18.9053216,-0.0155843087307
147,19.2629536,-0.0154013307452
148,19.66976,-0.0152533008299
149,20.1570336,-0.0149977811275
150,20.519136,-0.0145708455199
151,20.876768,-0.0138777407047
152,21.2344,-0.0129597671171
153,21.5875616,-0.0115052999924
154,21.7216736,-0.0094398202265
155,21.770848,-0.00681500176922
156,21.770848,-0.00377573763469
157,21.860256,-0.000657071020484
158,22.083776,0.00278525328781
159,22.2581216,0.00553300365236
160,22.352,0.00777219623553
161,22.3922336,0.00943972939428
162,22.441408,0.0100928471881
163,22.1687136,0.00992192443166
164,21.7216736,0.00911734261431
165,21.413216,0.00829620509873
166,21.01088,0.00755926988989
167,20.1570336,0.0071356982008
168,18.641568,0.00729608882069
169,18.283936,0.00799323129212
170,17.971008,0.00878441096142
171,17.836896,0.00951826975922
172,17.9218336,0.0101267662907
173,18.10512,0.0106184903246
174,18.418048,0.0110270172385
175,18.730976,0.0112467263922
176,19.088608,0.011289296761
177,19.535648,0.0111615040571
178,19.89328,0.0110244770392
179,20.295616,0.0108287830948
180,20.6040736,0.0107918423311
181,20.6934816,0.0111896089412
182,20.519136,0.0116258516214
183,20.295616,0.0118625173218
184,19.9335136,0.0118580504147
185,19.44624,0.0115953015042
186,19.0394336,0.0112906385297
187,18.6818016,0.0110996000557
188,18.32864,0.0111187140126
189,18.060416,0.0113944703912
190,17.836896,0.0116789216438
191,17.836896,0.0118433376789
192,17.9218336,0.0119604604299
193,18.1453536,0.0120547273864
194,18.4582816,0.0120848298721
195,18.865088,0.0121059548621
196,19.22272,0.0121275253234
197,19.625056,0.0120994027886
198,19.982688,0.0121078473704
199,20.295616,0.0121066928775
200,20.519136,0.0120383446044
201,20.519136,0.0117556442763
202,20.3805536,0.0114030258613
203,20.34032,0.0110869664578
204,20.4699616,0.010904748812
205,20.653248,0.0108143319906
206,20.78736,0.0109829486304
207,20.9170016,0.0115111083763
208,21.0511136,0.0125333883546
209,21.2344,0.0142986054914
210,21.413216,0.0170509587322
211,21.547328,0.0206498494391
212,21.5875616,0.0243835558294
213,21.7216736,0.0275544432897
214,21.90496,0.0298438261878
215,22.12848,0.0306639162356
216,22.307296,0.03100848515
217,22.307296,0.0312305253302
218,22.1687136,0.0314781570791
219,22.1687136,0.0315931334392
220,22.217888,0.0315882670686
221,22.307296,0.0315226178649
222,22.307296,0.0313252064517
223,22.307296,0.0308652036382
224,22.217888,0.0303744208754
225,22.217888,0.0299154564356
226,22.217888,0.0295774809288
227,22.352,0.0294208149102
228,22.530816,0.0293815624178
229,22.6157536,0.0293579176957
230,22.664928,0.0293439345746
231,22.8392736,0.0294066638073
232,23.0627936,0.0294708986876
233,23.2863136,0.0294299268399
234,23.559008,0.0293266545331
235,23.8227616,0.0290330076136
236,23.8227616,0.0284141899264
237,23.5992416,0.0271099487186
238,23.648416,0.0248765946194
239,23.8227616,0.0220515025424
240,23.648416,0.0193886844053
241,23.424896,0.0173939201057
242,23.1522016,0.0159789885661
243,23.201376,0.0144769602107
244,23.4696,0.0129036564709
245,23.3757216,0.0107550517045
246,23.02256,0.00808408217674
247,22.664928,0.00545686109577
248,22.352,0.00261525126028
249,22.217888,0.000276224750449
250,22.441408,-0.00181349343236
251,22.530816,-0.00453839553987
252,22.217888,-0.00705372009598
253,21.7216736,-0.00972963192042
254,21.2746336,-0.0116174897162
255,20.876768,-0.0130871266993
256,20.653248,-0.013983345834
257,20.876768,-0.0143083257798
258,21.3640416,-0.0144940487073
259,21.770848,-0.014791463284
260,21.9451936,-0.0149157525192
261,21.9451936,-0.01484839086
262,21.90496,-0.0146978520686
263,21.860256,-0.0147462121359
264,21.9451936,-0.0149888878973
265,22.0346016,-0.0153399299938
266,22.0346016,-0.0156645720366
267,21.7216736,-0.0157409368386
268,21.323808,-0.0155468066661
269,20.9170016,-0.0151293500226
270,20.519136,-0.0144693457878
271,20.1570336,-0.0134237080572
272,19.89328,-0.0122691309127
273,19.848576,-0.0108321079444
274,19.7994016,-0.00968160908706
275,19.759168,-0.00847493209984
276,19.759168,-0.00742257405053
277,19.535648,-0.00601375476083
278,19.0394336,-0.00473199097945
279,18.5923936,-0.00321502477072
280,18.10512,-0.00185476219244
281,17.65808,-0.000446393275778
282,17.166336,0.000962895255342
283,16.6701216,0.00232718136401
284,16.182848,0.00343896286042
285,15.959328,0.00465981508651
286,15.7760416,0.00556564419814
287,15.378176,0.00630925631645
288,15.065248,0.00684274513781
289,14.841728,0.00691365883651
290,14.707616,0.00670159329058
291,14.484096,0.00622024792162
292,14.30528,0.00553763011736
293,13.9878816,0.00471633029066
294,13.679424,0.00405619211167
295,13.232384,0.00331235007026
296,12.114784,0.00293110923946
297,11.444224,0.00287196246242
298,10.72896,0.00316380839414
299,10.2327456,0.00372077257744
300,9.9645216,0.00424104697478
301,9.879584,0.00480291054805
302,9.9645216,0.00541354115863
303,10.2327456,0.00631142489841
304,10.4562656,0.00703185191948
305,10.6797856,0.00800139036215
306,10.818368,0.00869496512338
