time(s),speed(m/s),grade
0,13.7107159673,-0.0224493318232
1,13.232384,-0.0195912704175
2,12.338304,-0.0165821330813
3,11.265408,-0.0136698467047
4,11.0821216,-0.0110659787248
5,10.550144,-0.00940749049797
6,9.7857056,-0.00766078861907
7,9.38784,-0.00669803016224
8,9.38784,-0.00600174650073
9,9.477248,-0.00551637401573
10,9.253728,-0.00519553050671
11,8.985504,-0.00499503089962
12,8.71728,-0.00488909083653
13,8.583168,-0.00485432880443
14,8.71728,-0.00485408648702
15,8.761984,-0.00486079828097
16,8.583168,-0.0048635121224
17,8.49376,-0.00486016585249
18,8.359648,-0.00486037079179
19,8.2210656,-0.00487479259864
20,8.2210656,-0.00489762670694
21,8.27024,-0.00490978273673
22,8.359648,-0.00492167443305
23,8.2210656,-0.00492658742033
24,8.136128,-0.00493073395357
25,8.091424,-0.00494768328046
26,8.04672,-0.00497696303218
27,7.9528416,-0.00500649766834
28,7.8232,-0.00506539246557
29,7.8232,-0.00511440324977
30,7.9528416,-0.00513535094234
31,7.9528416,-0.00515497498738
32,7.8232,-0.00516664744736
33,7.063232,-0.00516803122521
34,6.03504,-0.00516630937411
35,5.4494176,-0.00516510413435
36,5.36448,-0.00516851679026
37,5.14096,-0.00517179092458
38,5.14096,-0.00517773456796
39,5.0023776,-0.00517864588524
40,5.06450591796,-0.00517690746378
41,5.185664,-0.00516990762105
42,5.2258976,-0.0051604653545
43,5.588,-0.00515620546994
44,5.8964576,-0.00515152483123
45,5.945632,-0.00515559572549
46,6.079744,-0.00517407822001
47,6.1199776,-0.00521388493141
48,6.4329056,-0.0052821510017
49,6.8799456,-0.00538955802621
50,7.2822816,-0.0056174122768
51,7.54861908432,-0.00578705065824
52,7.69326373104,-0.00605845579472
53,7.75535331226,-0.00624033146162
54,7.7740256,-0.00649599956827
55,7.8232,-0.00670231804775
56,8.04672,-0.00684049110812
57,8.314944,-0.00694313758749
58,8.3998816,-0.00702979421318
59,8.359648,-0.00710872646301
60,8.136128,-0.00716634511267
61,7.867904,-0.00727594495629
62,7.7293216,-0.00743966677687
63,7.644384,-0.00759927498902
64,7.644384,-0.00794447486465
65,7.9975456,-0.00825960765268
66,8.538464,-0.00887705528238
67,8.806688,-0.00966388800552
68,8.985504,-0.0105773569692
69,8.985504,-0.0115636649483
70,8.9408,-0.0125695479463
71,8.6681056,-0.0132183544845
72,8.6681056,-0.0141071183785
73,8.538464,-0.0148549714753
74,7.5058016,-0.0154399058116
75,5.945632,-0.0157313363308
76,4.515104,-0.015847554126
77,4.291584,-0.0160211927947
78,4.4212256,-0.0160782361297
79,4.515104,-0.0161310422056
80,4.7788576,-0.0161263729761
81,6.169152,-0.0160555986403
82,7.7293216,-0.0159090146465
83,9.1151456,-0.0155939568475
84,10.28192,-0.015078687064
85,11.0821216,-0.0145257453542
86,11.7526816,-0.0140982385714
87,11.891264,-0.013534325884
88,11.7526816,-0.0130172387744
89,11.3503456,-0.0125889339641
90,10.9033056,-0.0122761142644
91,10.550144,-0.0121130888295
92,10.0584,-0.0119677925229
93,9.7857056,-0.0118672984043
94,9.700768,-0.0116981837823
95,9.61136,-0.0113943563581
96,9.5174816,-0.010704232956
97,9.477248,-0.00993578141355
98,9.61136,-0.00892576805547
99,9.61136,-0.00773495236287
100,9.61136,-0.00584473373171
101,9.7410016,-0.0042014874741
102,9.7857056,-0.00235292182753
103,9.7857056,0.000275852346537
104,9.61136,0.00233931302063
105,9.432544,0.00446772982766
106,9.700768,0.00663723207117
107,10.147808,0.00952136295786
108,10.4562656,0.0116081958465
109,10.9033056,0.0141854326928
110,11.176,0.0159060386289
111,11.62304,0.0178618985174
112,12.2444256,0.0193986408041
113,12.74064,0.0204881887063
114,13.0938016,0.0212623671099
115,13.1915904128,0.0214314508247
116,13.1385056,0.0212041530594
117,13.0938016,0.0204584978037
118,13.1385056,0.0195801933201
119,13.277088,0.0182019795294
120,13.455904,0.0169223619644
121,13.5855456,0.0151372488825
122,13.679424,0.0136113327673
123,13.8090656,0.0116782437307
124,13.947648,0.0101510113905
125,13.9878816,0.00828731260262
126,13.9878816,0.00652156384154
127,14.0325856,0.00518527039588
128,14.2561056,0.0035539189051
129,14.394688,0.00190043154459
130,14.6584416,0.000193772403258
131,14.618208,-0.00162766575044
132,14.4349216,-0.00356413036981
133,14.2561056,-0.00563596581615
134,14.126464,-0.00782501408288
135,13.947648,-0.00966059636453
136,13.4713474535,-0.0120372706464
137,13.500608,-0.0139903090049
138,14.484096,-0.016320939628
139,14.8819616,-0.0184598756985
140,14.8819616,-0.0203805669694
141,15.065248,-0.0221030101555
142,14.97584,-0.0236272665339
143,14.2114016,-0.0249347632063
144,13.5408416,-0.0257504355805
145,13.3620256,-0.0263763871222
146,13.277088,-0.0264581477927
147,13.0938016,-0.0259378043617
148,13.008864,-0.0250144838759
149,12.9149856,-0.0232544539348
150,12.785344,-0.0214491095413
151,12.561824,-0.0193785486437
152,12.4679456,-0.0165043831589
153,11.9762016,-0.0140218002793
154,11.444224,-0.0114163553191
155,10.4562656,-0.00939750524343
156,9.3386656,-0.00663335165804
157,8.583168,-0.00450413380821
158,8.2210656,-0.00304198068965
159,8.136128,-0.000818216007589
160,8.1763616,0.0013806702672
161,8.359648,0.00281851300385
162,8.6681056,0.00491137944324
163,8.985504,0.0068986300482
164,9.0704416,0.0087358800993
165,8.8916256,0.010383011173
166,8.6681056,0.0117962061496
167,8.49376,0.0129413874573
168,8.27024,0.0135424228955
169,8.2210656,0.0141859974857
170,8.091424,0.0145188008732
171,7.9975456,0.0145739422241
172,8.27024,0.0144210845224
173,8.6681056,0.0140065657579
174,9.209024,0.0133609772309
175,9.7857056,0.0125220072956
176,10.2327456,0.0111819171343
177,10.9033056,0.0100659672784
178,11.3503456,0.00848162351356
179,11.3056416,0.00683611310459
180,11.265408,0.00517379692594
181,10.5800474143,0.00392700645578
182,10.371328,0.0026942395992
183,9.95091999078,0.00112741639966
184,9.28081696146,-0.000348043209665
185,8.6681056,-0.00147832017427
186,8.314944,-0.00264326687873
187,8.04672,-0.00378528151488
188,7.7740256,-0.00452820289046
189,7.5505056,-0.00560636991921
190,7.465568,-0.00662741456776
191,7.37616,-0.00724303019801
192,7.3269856,-0.00808917573223
193,7.197344,-0.00859496505061
194,7.242048,-0.00925335721679
195,7.0140576,-0.00961905393686
196,6.839712,-0.0100546477205
197,6.7056,-0.0103546479183
198,6.6564256,-0.0104739015099
199,6.616192,-0.0105288109275
200,6.616192,-0.0105173855515
201,6.6564256,-0.0103766490097
202,6.7056,-0.010205862508
203,6.750304,-0.00998066445556
204,6.839712,-0.00954298219432
205,6.92912,-0.00916747124008
206,7.0140576,-0.00843757284141
207,7.1034656,-0.0078148299062
208,7.1034656,-0.00662789268924
209,7.063232,-0.00564845789031
210,7.1034656,-0.00389885501843
211,7.197344,-0.00256511346187
212,7.16600347137,-0.00112327080429
213,7.03977277419,0.00119425392644
214,6.91297808991,0.00279250459191
215,6.8799456,0.00439423943334
216,6.92912,0.00677868115577
217,6.839712,0.00832389766806
218,6.8799456,0.0105387630776
219,6.7056,0.011936275693
220,6.5670176,0.0139120596704
221,6.7056,0.0151628953041
222,7.063232,0.0169643798358
223,7.644384,0.0181253012209
224,7.50301749228,0.0198178473799
225,7.1034656,0.0214313501906
226,7.063232,0.0224758964773
227,7.03984864412,0.0239671805249
228,7.2822816,0.0248861057841
229,7.867904,0.0261363331311
230,7.867904,0.026845427572
231,7.92024014776,0.0276999624189
232,7.9975456,0.0284858270763
233,7.644384,0.028749868033
234,6.616192,0.0289969227534
235,6.3434976,0.0290650604548
236,5.6729376,0.0290603721439
237,4.6447456,0.029035606991
238,3.12928,0.0289468062558
239,1.3813536,0.0289468062558
240,0.0,0.0289468062558
241,0.0,0.0289468062558
242,0.0,0.0289468062558
243,0.0,0.0289468062558
244,0.0,0.0289468062558
245,0.0,0.0289468062558
246,0.0,0.0289468062558
247,0.0,0.0289468062558
248,0.89408,0.0288836735046
249,2.861056,0.0288836735046
250,3.933952,0.0287218497398
251,5.051552,0.0286243128765
252,6.079744,0.0282392081243
253,6.3434976,0.0279062835613
254,7.2822816,0.0275194313337
255,7.64499245139,0.0268440536611
256,7.37616,0.0260650447855
257,7.05809314444,0.0251812393935
258,7.2822816,0.0245449142664
259,7.6070449511,0.0235555541839
260,7.97221122029,0.0228805145544
261,8.49376,0.021858234617
262,9.030208,0.0208378908166
263,9.0704416,0.0198341753502
264,9.7857056,0.0188682639163
265,10.50544,0.0176666924386
266,11.0821216,0.0168474352572
267,11.62304,0.0158714347571
268,11.891264,0.0150581396158
269,11.935968,0.014424029033
270,12.07008,0.0139281773938
271,12.0149109244,0.0135287792373
272,11.935968,0.0131968545595
273,11.84656,0.0129541301067
274,11.176,0.0127256592777
275,10.773664,0.01262372836
276,9.38784,0.0125536396541
277,8.78597752082,0.0125164642675
278,8.77226672315,0.012514509166
279,8.359648,0.0125327725967
280,6.8799456,0.0125477743551
281,5.0023776,0.0125666894701
282,3.710432,0.0125895179362
283,2.9459936,0.0126162597463
284,2.3201376,0.0126162597463
285,2.2754336,0.0126398902172
286,2.48135973237,0.0126659121856
287,2.5436576,0.0127251305951
288,2.26872373376,0.0127653113252
289,2.04678268261,0.012808945337
290,2.414016,0.012856032619
291,3.531616,0.012906573158
292,4.828032,0.0130789141748
293,7.48086421582,0.0133570468879
294,9.656064,0.0135249266374
295,9.83488,0.0140110732916
296,10.371328,0.0150002830119
297,10.6350816,0.0159383339023
298,10.50544,0.016527098704
299,10.103104,0.0170247502815
300,9.253728,0.017097715368
301,8.27024,0.0169702975714
302,7.867904,0.0166502144987
303,7.7293216,0.0161540513992
304,7.867904,0.0155089168671
305,8.04672,0.0147503305849
306,8.04672,0.0139025204271
307,7.8232,0.0130136371774
308,7.37616,0.0124101084582
309,6.7056,0.0115007617287
310,6.2093856,0.0108827930427
311,6.1199776,0.010270294715
312,6.48208,0.00970223142475
313,7.1034656,0.00918936054717
314,8.538464,0.00855272376809
315,9.57156789684,0.00806445634191
316,10.0500574009,0.0077052975841
317,10.2484791167,0.00738387416971
318,10.4413796482,0.0072061381103
319,10.9033056,0.00696610077914
320,11.5738656,0.00665098554153
321,11.444224,0.00618648277736
322,10.72896,0.00550469630943
323,9.9645216,0.00459767681474
324,9.2939616,0.00376688921153
325,8.359648,0.00279540575048
326,7.912608,0.00169933351018
327,7.8232,0.000525667184736
328,7.9975456,-0.000268873640039
329,8.71728,-0.00146660736723
330,9.477248,-0.00265777444624
331,10.1880416,-0.00384818744449
332,11.0821216,-0.00546565096448
333,12.07008,-0.00723200486181
334,12.0538938992,-0.00916124859055
335,11.62304,-0.0112187093308
336,11.5738656,-0.0132075334599
337,11.62304,-0.0148467123442
338,11.7575369263,-0.01671423001
339,11.8386763627,-0.0179812433911
340,11.6555336178,-0.0184746483352
341,10.997184,-0.0183374439209
342,10.0092256,-0.0176039042497
