time(s),speed(m/s),grade
0,30.6624736,-0.0271523401298
1,31.3777376,-0.0270591099234
2,32.18688,-0.0269320170115
3,32.9423776,-0.0269236720931
4,33.662112,-0.0270716530829
5,34.377376,-0.0271353887965
6,34.9093536,-0.0270206182641
7,35.3563936,-0.0268729427903
8,35.7872432707,-0.0267992091893
9,36.2269924781,-0.0267912873988
10,36.6975136,-0.0268971965465
11,37.1445536,-0.0271127728733
12,37.3680736,-0.0273475641533
13,37.55136,-0.027340223949
14,37.506656,-0.0274597887767
15,37.4127776,-0.0276056750173
16,37.1445536,-0.0274521633306
17,36.836096,-0.0271186824613
18,36.612576,-0.0260828499995
19,36.43376,-0.0235129530537
20,36.2504736,-0.0191322058685
21,36.2504736,-0.0137646199973
22,36.344352,-0.00922405192069
23,36.612576,-0.00686957258163
24,36.9657376,-0.00633659572583
25,37.3680736,-0.00652728891302
26,37.8598176,-0.00662420516234
27,38.44544,-0.00657716190424
28,38.6839132079,-0.00682023691274
29,38.624256,-0.00712607236554
30,38.44544,-0.00718856548085
31,38.22192,-0.00720673903758
32,38.0386336,-0.0075491455955
33,37.8151136,-0.00802634486755
34,37.5915936,-0.00833063965558
35,37.461952,-0.00802566034374
36,37.3680736,-0.0061696169687
37,37.32784,-0.00205566775102
38,37.32784,0.0053447767388
39,37.3680736,0.0124805843964
40,37.3680736,0.0176148428919
41,37.32784,0.0197659671782
42,37.238432,0.0203952675524
43,37.014912,0.0201860184151
44,36.6975136,0.0197119287329
45,36.43376,0.019348250198
46,36.2504736,0.0192281990301
47,36.2504736,0.0192439383811
48,36.165536,0.0187922537214
49,36.0716576,0.0171347275345
50,36.0269536,0.0139659155008
51,35.98672,0.00974135973667
52,35.98672,0.00516435566169
53,36.0269536,0.000840004099216
54,36.0716576,-0.00257696008353
55,36.0269536,-0.00453826661186
56,36.0269536,-0.00518928351031
57,36.0269536,-0.0052232346129
58,36.0716576,-0.00514548986467
59,36.120832,-0.00509187436884
60,36.120832,-0.00498577467357
61,36.120832,-0.00477612595894
62,36.0716576,-0.00438762823092
63,35.897312,-0.0038267848061
64,35.718496,-0.00317870814618
65,35.673792,-0.00271111326656
66,35.6246176,-0.00247412253884
67,35.5799136,-0.00242998987623
68,35.673792,-0.00254538364134
69,35.8034336,-0.00285814023982
70,35.897312,-0.00345169268033
71,35.897312,-0.00426080291289
