time(s),speed(m/s),grade
0,6.3434976,0.00202412254751
1,7.689088,0.00162768715952
2,8.71728,0.00103070658885
3,9.83488,0.000431348325445
4,10.773664,-0.000370577782655
5,11.667744,-0.00097359701628
6,12.4679456,-0.00177921662512
7,13.3620256,-0.00278899202803
8,14.5288,-0.00359948631656
9,15.7760416,-0.00481926429539
10,16.942816,-0.00583760400215
11,18.0112416,-0.0070342603947
12,18.954496,-0.00838285977196
13,19.7099936,-0.00959377424584
14,20.4699616,-0.0110039001597
15,21.2746336,-0.0124085319235
16,22.083776,-0.0140092158341
17,22.79904,-0.0154065454294
18,23.559008,-0.0169816106169
19,24.1803936,-0.0185138029233
20,24.766016,-0.0199769264866
21,25.25776,-0.0213371989623
22,25.794208,-0.0227113148187
23,26.330656,-0.0238554100021
24,26.8626336,-0.0248433137674
25,27.1755616,-0.0256645978817
26,27.3990816,-0.0263094469118
27,27.5331936,-0.0268011283337
28,27.71648,-0.0271672491348
29,27.94,-0.027470207892
30,28.118816,-0.0276642504003
31,28.342336,-0.0278008372631
32,28.5166816,-0.0279042956587
33,28.6954976,-0.027965940962
34,28.8743136,-0.0280180411594
35,29.0576,-0.028058521814
36,29.236416,-0.0281045883668
37,29.3213536,-0.0281622668135
38,29.459936,-0.0282291705121
39,29.5895776,-0.0283341273316
40,29.72816,-0.0284851591592
41,29.906976,-0.0286774315207
42,30.0366176,-0.0289026257717
43,30.1752,-0.0290672698701
44,30.2601376,-0.0291483843279
45,30.2601376,-0.0290833867901
46,30.309312,-0.0288251040399
47,30.354016,-0.0283235152515
48,30.39872,-0.0275395162267
49,30.4389536,-0.0263846512264
50,30.532832,-0.0247123100987
51,30.6624736,-0.0225495215397
52,30.84576,-0.0195508340447
53,30.979872,-0.0162802727566
54,31.06928,-0.0123653979582
55,31.1095136,-0.00770767203732
56,31.1542176,-0.00329830000925
57,31.1095136,0.00174236998985
58,31.024576,0.0063908599338
59,30.9306976,0.0114589331422
60,30.84576,0.0161150852185
61,30.6624736,0.0210057350201
62,30.4836576,0.0251313564428
