VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
4000,0,4.286914004,54.22429568,2143.457002
3000,0,4.286914004,54.22429568,2143.457002
2000,0,4.286914004,54.22429568,2143.457002
4000,1,0.719135209,3.628946,359.5676045
3000,1,0.719135209,3.628946,359.5676045
2000,1,0.719135209,3.628946,359.5676045
7000,0,4.032457993,49.19621463,2016.228997
6000,0,4.032457993,49.19621463,2016.228997
5000,0,4.032457993,49.19621463,2016.228997
7000,1,-1.773290802,-6.720345681,-886.645401
6000,1,-1.773290802,-6.720345681,-886.645401
5000,1,-1.773290802,-6.720345681,-886.645401
10000,0,3.940566165,42.01053234,1970.283082
9000,0,3.940566165,42.01053234,1970.283082
8000,0,3.940566165,42.01053234,1970.283082
10000,1,-1.787406402,-4.875795899,-893.703201
9000,1,-1.787406402,-4.875795899,-893.703201
8000,1,-1.787406402,-4.875795899,-893.703201
13000,0,3.735899523,32.43969433,1867.949762
12000,0,3.735899523,32.43969433,1867.949762
11000,0,3.735899523,32.43969433,1867.949762
13000,1,-1.67345122,-3.468357266,-836.72561
12000,1,-1.67345122,-3.468357266,-836.72561
11000,1,-1.67345122,-3.468357266,-836.72561
16000,0,3.683380233,58.35298407,1841.690117
15000,0,3.683380233,58.35298407,1841.690117
14000,0,3.683380233,58.35298407,1841.690117
16000,1,0,-1.535394544,0
15000,1,0,-1.535394544,0
14000,1,0,-1.535394544,0
19000,0,3.534931808,39.33291241,1767.465904
18000,0,3.534931808,39.33291241,1767.465904
17000,0,3.534931808,39.33291241,1767.465904
20000,0,3.534931808,39.33291241,1767.465904
21000,0,3.534931808,39.33291241,1767.465904
22000,0,3.534931808,39.33291241,1767.465904
23000,0,3.534931808,39.33291241,1767.465904
24000,0,3.534931808,39.33291241,1767.465904
25000,0,3.534931808,39.33291241,1767.465904
26000,0,3.534931808,39.33291241,1767.465904
27000,0,3.534931808,39.33291241,1767.465904
28000,0,3.534931808,39.33291241,1767.465904
29000,0,3.534931808,39.33291241,1767.465904
30000,0,3.534931808,39.33291241,1767.465904
31000,0,3.534931808,39.33291241,1767.465904
32000,0,3.534931808,39.33291241,1767.465904
33000,0,3.534931808,39.33291241,1767.465904
34000,0,3.534931808,39.33291241,1767.465904
35000,0,3.534931808,39.33291241,1767.465904
36000,0,3.534931808,39.33291241,1767.465904
37000,0,3.534931808,39.33291241,1767.465904
38000,0,3.534931808,39.33291241,1767.465904
39000,0,3.534931808,39.33291241,1767.465904
40000,0,3.534931808,39.33291241,1767.465904
41000,0,3.534931808,39.33291241,1767.465904
42000,0,3.534931808,39.33291241,1767.465904
43000,0,3.534931808,39.33291241,1767.465904
44000,0,3.534931808,39.33291241,1767.465904
45000,0,3.534931808,39.33291241,1767.465904
46000,0,3.534931808,39.33291241,1767.465904
47000,0,3.534931808,39.33291241,1767.465904
48000,0,3.534931808,39.33291241,1767.465904
49000,0,3.534931808,39.33291241,1767.465904
50000,0,3.534931808,39.33291241,1767.465904
