,VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
100,-8000,1,1.787510079,6.915698656,893.7550395
101,-9000,1,1.787510079,6.915698656,893.7550395
102,-10000,1,1.787510079,6.915698656,893.7550395
103,-8000,0,-0.390210783,-2.561008746,-195.1053915
104,-9000,0,-0.390210783,-2.561008746,-195.1053915
105,-10000,0,-0.390210783,-2.561008746,-195.1053915
106,-5000,0,-0.390210783,-2.561008746,-195.1053915
107,-6000,0,-0.390210783,-2.561008746,-195.1053915
108,-7000,0,-0.390210783,-2.561008746,-195.1053915
109,-5000,1,0.983403577,2.954049923,491.7017885
110,-6000,1,0.983403577,2.954049923,491.7017885
111,-7000,1,0.983403577,2.954049923,491.7017885
112,-2000,0,0,-0.675078168,0
113,-3000,0,0,-0.675078168,0
114,-4000,0,0,-0.675078168,0
115,-2000,1,0,1.153680515,0
116,-3000,1,0,1.153680515,0
117,-4000,1,0,1.153680515,0
118,1000,0,0,0.173003709,0
119,0,0,0,0.173003709,0
120,-1000,0,0,0.173003709,0
121,1000,1,1.913474348,11.20819726,956.737174
122,0,1,1.913474348,11.20819726,956.737174
123,-1000,1,1.913474348,11.20819726,956.737174
124,4000,0,1.793950624,2.682905404,896.975312
125,3000,0,1.793950624,2.682905404,896.975312
126,2000,0,1.793950624,2.682905404,896.975312
127,4000,1,2.602893764,135.2483878,1301.446882
128,3000,1,2.602893764,135.2483878,1301.446882
129,2000,1,2.602893764,135.2483878,1301.446882
130,7000,0,2.507777023,303.7705142,1253.888512
131,6000,0,2.507777023,303.7705142,1253.888512
132,5000,0,2.507777023,303.7705142,1253.888512
133,7000,1,2.808458284,222.6043126,1404.229142
134,6000,1,2.808458284,222.6043126,1404.229142
135,5000,1,2.808458284,222.6043126,1404.229142
136,10000,0,2.14664634,295.3796914,1073.32317
137,9000,0,2.14664634,295.3796914,1073.32317
138,8000,0,2.14664634,295.3796914,1073.32317
139,10000,1,2.503161431,113.78381,1251.580716
140,9000,1,2.503161431,113.78381,1251.580716
141,8000,1,2.503161431,113.78381,1251.580716
142,13000,1,2.250134911,181.5480126,1125.067456
143,12000,1,2.250134911,181.5480126,1125.067456
144,11000,1,2.250134911,181.5480126,1125.067456
145,16000,0,1.590344708,574.6276215,795.172354
146,15000,0,1.590344708,574.6276215,795.172354
147,14000,0,1.590344708,574.6276215,795.172354
148,16000,1,2.318634528,221.25637,1159.317264
149,15000,1,2.318634528,221.25637,1159.317264
150,14000,1,2.318634528,221.25637,1159.317264
151,19000,0,1.590344708,574.6276215,795.172354
152,18000,0,1.590344708,574.6276215,795.172354
153,17000,0,1.590344708,574.6276215,795.172354
154,20000,0,1.590344708,574.6276215,795.172354
155,21000,0,1.590344708,574.6276215,795.172354
156,22000,0,1.590344708,574.6276215,795.172354
157,23000,0,1.590344708,574.6276215,795.172354
158,24000,0,1.590344708,574.6276215,795.172354
159,25000,0,1.590344708,574.6276215,795.172354
160,26000,0,1.590344708,574.6276215,795.172354
161,27000,0,1.590344708,574.6276215,795.172354
162,28000,0,1.590344708,574.6276215,795.172354
163,29000,0,1.590344708,574.6276215,795.172354
164,30000,0,1.590344708,574.6276215,795.172354
165,31000,0,1.590344708,574.6276215,795.172354
166,32000,0,1.590344708,574.6276215,795.172354
167,33000,0,1.590344708,574.6276215,795.172354
168,34000,0,1.590344708,574.6276215,795.172354
169,35000,0,1.590344708,574.6276215,795.172354
170,36000,0,1.590344708,574.6276215,795.172354
171,37000,0,1.590344708,574.6276215,795.172354
172,38000,0,1.590344708,574.6276215,795.172354
173,39000,0,1.590344708,574.6276215,795.172354
174,40000,0,1.590344708,574.6276215,795.172354
175,41000,0,1.590344708,574.6276215,795.172354
176,42000,0,1.590344708,574.6276215,795.172354
177,43000,0,1.590344708,574.6276215,795.172354
178,44000,0,1.590344708,574.6276215,795.172354
