,VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
114,-4000,0,0.0,-0.606719979,0.0
115,-2000,1,0.0,-2.473852399,0.0
116,-3000,1,0.0,-2.473852399,0.0
117,-4000,1,0.0,-2.473852399,0.0
118,1000,0,2.299953506,6.865559521000001,1149.976753
119,0,0,2.299953506,6.865559521000001,1149.976753
120,-1000,0,2.299953506,6.865559521000001,1149.976753
121,1000,1,0.0,-2.473852399,0.0
122,0,1,0.0,-2.473852399,0.0
123,-1000,1,0.0,-2.473852399,0.0
124,4000,0,2.3879514459999998,5.096306825,1193.9757229999998
125,3000,0,2.3879514459999998,5.096306825,1193.9757229999998
126,2000,0,2.3879514459999998,5.096306825,1193.9757229999998
127,4000,1,0.0,-2.473852399,0.0
128,3000,1,0.0,-2.473852399,0.0
129,2000,1,0.0,-2.473852399,0.0
130,7000,0,4.42734506,8.250962116,2213.6725300000003
131,6000,0,4.42734506,8.250962116,2213.6725300000003
132,5000,0,4.42734506,8.250962116,2213.6725300000003
133,7000,1,0.0,-0.18295226399999998,0.0
134,6000,1,0.0,-0.18295226399999998,0.0
135,5000,1,0.0,-0.18295226399999998,0.0
136,10000,0,3.749174226,8.354415522,1874.587113
137,9000,0,3.749174226,8.354415522,1874.587113
138,8000,0,3.749174226,8.354415522,1874.587113
139,10000,1,0.0,-0.751656731,0.0
140,9000,1,0.0,-0.751656731,0.0
141,8000,1,0.0,-0.751656731,0.0
142,13000,0,2.410081335,8.991486334,1205.0406675000002
143,12000,0,2.410081335,8.991486334,1205.0406675000002
144,11000,0,2.410081335,8.991486334,1205.0406675000002
145,13000,1,0.0,-1.343171079,0.0
146,12000,1,0.0,-1.343171079,0.0
147,11000,1,0.0,-1.343171079,0.0
148,16000,0,1.404052265,10.80081248,702.0261325
149,15000,0,1.404052265,10.80081248,702.0261325
150,14000,0,1.404052265,10.80081248,702.0261325
151,16000,1,0.0,-1.2942484570000001,0.0
152,15000,1,0.0,-1.2942484570000001,0.0
153,14000,1,0.0,-1.2942484570000001,0.0
154,19000,0,0.0,1.5445204430000001,0.0
155,18000,0,0.0,1.5445204430000001,0.0
156,17000,0,0.0,1.5445204430000001,0.0
157,20000,0,0.0,1.5445204430000001,0.0
158,21000,0,0.0,1.5445204430000001,0.0
159,22000,0,0.0,1.5445204430000001,0.0
160,23000,0,0.0,1.5445204430000001,0.0
161,24000,0,0.0,1.5445204430000001,0.0
162,25000,0,0.0,1.5445204430000001,0.0
163,26000,0,0.0,1.5445204430000001,0.0
164,27000,0,0.0,1.5445204430000001,0.0
165,28000,0,0.0,1.5445204430000001,0.0
166,29000,0,0.0,1.5445204430000001,0.0
167,30000,0,0.0,1.5445204430000001,0.0
168,31000,0,0.0,1.5445204430000001,0.0
169,32000,0,0.0,1.5445204430000001,0.0
170,33000,0,0.0,1.5445204430000001,0.0
171,34000,0,0.0,1.5445204430000001,0.0
172,35000,0,0.0,1.5445204430000001,0.0
173,36000,0,0.0,1.5445204430000001,0.0
174,37000,0,0.0,1.5445204430000001,0.0
175,38000,0,0.0,1.5445204430000001,0.0
176,39000,0,0.0,1.5445204430000001,0.0
177,40000,0,0.0,1.5445204430000001,0.0
178,41000,0,0.0,1.5445204430000001,0.0
179,42000,0,0.0,1.5445204430000001,0.0
180,43000,0,0.0,1.5445204430000001,0.0
181,44000,0,0.0,1.5445204430000001,0.0
182,45000,0,0.0,1.5445204430000001,0.0
183,46000,0,0.0,1.5445204430000001,0.0
184,47000,0,0.0,1.5445204430000001,0.0
185,48000,0,0.0,1.5445204430000001,0.0
186,49000,0,0.0,1.5445204430000001,0.0
187,50000,0,0.0,1.5445204430000001,0.0
188,51000,0,0.0,1.5445204430000001,0.0
189,52000,0,0.0,1.5445204430000001,0.0
190,53000,0,0.0,1.5445204430000001,0.0
191,54000,0,0.0,1.5445204430000001,0.0
192,55000,0,0.0,1.5445204430000001,0.0
193,56000,0,0.0,1.5445204430000001,0.0
194,57000,0,0.0,1.5445204430000001,0.0
195,58000,0,0.0,1.5445204430000001,0.0
196,59000,0,0.0,1.5445204430000001,0.0
197,60000,0,0.0,1.5445204430000001,0.0
198,19000,1,0.0,-1.72432068,0.0
199,18000,1,0.0,-1.72432068,0.0
200,17000,1,0.0,-1.72432068,0.0
201,20000,1,0.0,-1.72432068,0.0
202,21000,1,0.0,-1.72432068,0.0
203,22000,1,0.0,-1.72432068,0.0
204,23000,1,0.0,-1.72432068,0.0
205,24000,1,0.0,-1.72432068,0.0
206,25000,1,0.0,-1.72432068,0.0
207,26000,1,0.0,-1.72432068,0.0
208,27000,1,0.0,-1.72432068,0.0
209,28000,1,0.0,-1.72432068,0.0
210,29000,1,0.0,-1.72432068,0.0
211,30000,1,0.0,-1.72432068,0.0
212,31000,1,0.0,-1.72432068,0.0
213,32000,1,0.0,-1.72432068,0.0
214,33000,1,0.0,-1.72432068,0.0
215,34000,1,0.0,-1.72432068,0.0
216,35000,1,0.0,-1.72432068,0.0
217,36000,1,0.0,-1.72432068,0.0
218,37000,1,0.0,-1.72432068,0.0
219,38000,1,0.0,-1.72432068,0.0
220,39000,1,0.0,-1.72432068,0.0
221,40000,1,0.0,-1.72432068,0.0
222,41000,1,0.0,-1.72432068,0.0
223,42000,1,0.0,-1.72432068,0.0
224,43000,1,0.0,-1.72432068,0.0
225,44000,1,0.0,-1.72432068,0.0
226,45000,1,0.0,-1.72432068,0.0
227,46000,1,0.0,-1.72432068,0.0
228,47000,1,0.0,-1.72432068,0.0
229,48000,1,0.0,-1.72432068,0.0
230,49000,1,0.0,-1.72432068,0.0
231,50000,1,0.0,-1.72432068,0.0
232,51000,1,0.0,-1.72432068,0.0
233,52000,1,0.0,-1.72432068,0.0
234,53000,1,0.0,-1.72432068,0.0
235,54000,1,0.0,-1.72432068,0.0
236,55000,1,0.0,-1.72432068,0.0
237,56000,1,0.0,-1.72432068,0.0
238,57000,1,0.0,-1.72432068,0.0
239,58000,1,0.0,-1.72432068,0.0
240,59000,1,0.0,-1.72432068,0.0
241,60000,1,0.0,-1.72432068,0.0
